# Server version 0.08 running on 10.162.212.12:8123
# Game ID: 5
# Board class: pentago_swap.PentagoBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Apr 05 16:09:52 EDT 2019
# Player 1: Player-0, 'Human', running on 10.162.212.12
# Player 2: Player-1, 'Human', running on 10.162.212.12
START Player-0 Human
START Player-1 Human
2 0 TL BL 0
1 1 BL BR 1
1 2 BL TL 0
3 1 BL BR 1
4 0 BL BR 0
2 1 BL BR 1
3 0 BL BR 0
1 1 BL BR 1
2 0 BL BR 0
0 1 BR TR 1
GAMEOVER WINNER 1
# Game ended: Fri Apr 05 16:10:29 EDT 2019
