# Server version 0.08 running on 142.157.55.211:8123
# Game ID: 491
# Board class: pentago_swap.PentagoBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 09 21:02:40 EDT 2019
# Player 1: Player-0, 'xxxxxx', running on 142.157.55.58
# Player 2: Player-1, '260736135', running on 142.157.55.211
START Player-0 xxxxxx
START Player-1 260736135
1 1 TR BR 0
0 0 TL TR 1
0 0 TL BL 0
0 0 TL TR 1
0 1 TL BL 0
0 1 TL TR 1
0 1 TL TR 0
0 2 TL TR 1
0 2 TL TR 0
1 0 TL TR 1
1 0 TL BL 0
0 2 TL TR 1
1 1 TL BL 0
1 1 TL TR 1
1 0 TL BL 0
GAMEOVER TIMEOUT WINNER 0
# Game ended: Tue Apr 09 21:02:47 EDT 2019
